iter	Passed	Remaining
412	3291	4678
413	3299	4669
414	3306	4660
415	3313	4652
416	3321	4643
417	3328	4634
418	3336	4626
419	3343	4617
420	3350	4608
421	3358	4599
422	3365	4591
423	3373	4582
424	3380	4574
425	3388	4565
426	3395	4557
427	3403	4548
428	3410	4539
429	3418	4531
430	3425	4522
431	3432	4513
432	3439	4504
433	3447	4495
434	3454	4486
435	3461	4478
436	3469	4469
437	3476	4460
438	3484	4452
439	3491	4443
440	3498	4434
441	3505	4426
442	3513	4417
443	3520	4408
444	3527	4399
445	3534	4390
446	3542	4382
447	3549	4373
448	3556	4364
449	3563	4355
450	3570	4346
451	3578	4338
452	3585	4329
453	3592	4320
454	3600	4312
455	3607	4303
456	3615	4295
457	3622	4287
458	3629	4278
459	3637	4269
460	3644	4261
461	3652	4253
462	3660	4244
463	3667	4236
464	3675	4228
465	3682	4220
466	3690	4211
467	3697	4203
468	3704	4194
469	3712	4186
470	3720	4178
471	3727	4169
472	3734	4160
473	3741	4152
474	3749	4143
475	3756	4134
476	3763	4126
477	3770	4117
478	3778	4109
479	3785	4101
480	3792	4092
481	3800	4084
482	3808	4076
483	3815	4067
484	3823	4059
485	3830	4051
486	3838	4043
487	3845	4034
488	3853	4026
489	3860	4018
490	3868	4010
491	3875	4001
492	3883	3993
493	3890	3985
494	3897	3976
495	3905	3968
496	3912	3960
497	3920	3951
498	3927	3943
499	3935	3935
500	3942	3926
501	3950	3918
502	3957	3910
503	3964	3901
504	3971	3893
505	3979	3884
506	3986	3876
507	3994	3868
508	4001	3860
509	4009	3852
510	4016	3844
511	4024	3836
512	4032	3828
513	4040	3819
514	4047	3811
515	4054	3803
516	4062	3795
517	4069	3787
518	4077	3778
519	4084	3770
520	4092	3762
521	4099	3754
522	4107	3746
523	4114	3737
524	4122	3729
525	4129	3721
526	4137	3713
527	4144	3705
528	4152	3696
529	4159	3688
530	4166	3679
531	4173	3671
532	4181	3663
533	4188	3655
534	4196	3647
535	4204	3639
536	4211	3631
537	4219	3623
538	4226	3615
539	4234	3606
540	4241	3598
541	4248	3590
542	4256	3581
543	4263	3573
544	4270	3565
545	4277	3557
546	4285	3548
547	4293	3541
548	4300	3533
549	4307	3524
550	4316	3517
551	4323	3508
552	4330	3500
553	4337	3492
554	4345	3483
555	4352	3475
556	4359	3467
557	4367	3459
558	4375	3451
559	4382	3443
560	4390	3435
561	4397	3427
562	4404	3418
563	4411	3410
564	4419	3402
565	4426	3394
566	4433	3385
567	4440	3377
568	4448	3369
569	4455	3361
570	4463	3353
571	4470	3345
572	4478	3337
573	4485	3328
574	4492	3320
575	4499	3312
576	4506	3303
577	4513	3295
578	4521	3287
579	4528	3279
580	4535	3271
581	4543	3262
582	4550	3254
583	4557	3246
584	4564	3238
585	4571	3230
586	4579	3222
587	4586	3214
588	4594	3205
589	4601	3197
590	4608	3189
591	4616	3181
592	4623	3173
593	4631	3165
594	4638	3157
595	4645	3148
596	4652	3140
597	4659	3132
598	4667	3124
599	4674	3116
600	4682	3108
601	4689	3100
602	4696	3092
603	4703	3083
604	4710	3075
605	4718	3067
606	4725	3059
607	4732	3051
608	4740	3043
609	4747	3035
610	4754	3027
611	4762	3019
612	4769	3010
613	4776	3003
614	4783	2994
615	4791	2986
616	4798	2978
617	4806	2970
618	4813	2962
619	4820	2954
620	4828	2946
621	4835	2938
622	4842	2930
623	4850	2922
624	4858	2915
625	4865	2906
626	4872	2898
627	4880	2890
628	4887	2882
629	4894	2874
630	4902	2866
631	4909	2858
632	4916	2850
633	4924	2842
634	4931	2834
635	4938	2826
636	4946	2818
637	4953	2810
638	4961	2802
639	4968	2794
640	4976	2786
641	4983	2779
642	4990	2771
643	4998	2763
644	5005	2755
645	5013	2747
646	5020	2739
647	5027	2731
648	5035	2723
649	5042	2715
650	5050	2707
651	5058	2699
652	5065	2691
653	5072	2683
654	5080	2675
655	5087	2667
656	5094	2659
657	5101	2651
658	5108	2643
659	5116	2635
660	5123	2627
661	5130	2619
662	5137	2611
663	5144	2603
664	5151	2595
665	5158	2586
